B.Sc. in Information Technology & Management (ITM),"727,100=/",,,,30.    What is the waiver facilities for DIPTI (BM) college?,"The Alumnus of DIPTI (BM) college will get 15% tuition fee waiver if pre BBA/HSC result is less then SSC result and 25% tuition fee waiver
 if pre BBA/HSC result is better then HSC result.",,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sc. (Hon's) in Physical Education and Sports Science (PESS),"558,100=/",,,,"31.    What is the waiver facilities for the alumnus of Daffodil Polytechnic 
Institute (DPI)?","4 years Diploma alumunus of Daffodil Polytechnic Institute (DPI) will get 20% tuition fees waiver and have 
to maintain semester result 3.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Average cost for Business & Entrepreneurship degree(BBA/BRE/BE),Around 7 lacks taka,,,,"32.    I applied for financial aid but it's declined, what can I do?",Please find out the reason for decline and try to apply again with improved result.,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Business Administration (BBA),"7,43,200 =/",,,,33.    How long does it take for a waiver to be approved?,Waiver will be approved within the semester final exam.,,,,,,,,,,,,,,,,,,,,,,,,,,
Master of Business Administration (MBA),"1,83,625 - 307500 =/",,,,34.    What are the deadlines for submitting a waiver form?,Students need to submit waiver form before registration to be approved in time.,,,,,,,,,,,,,,,,,,,,,,,,,,
Master of Business Administration (Executive),"222,625 =/",,,,35.    What options do I have if my waiver is denied?,You can seek considereation of authority and can apply again after overcoming your lackings,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Business Studies in E-Business Management (BBS in E-Business Mgt.),"5,83,920 =/",,,,"36.    What is the waiver facilities for the alumnus of Bangladesh Skill Development 
Intitute (BSDI)?","All the alumunus of  Bangladesh Skill Development Intitute (BSDI) will get 20% tuition fees waiver and 
have to maintain semester result 3.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Real Estate (BRE),"6,55,200=/",,,,37.    Is there any waiver for credit transfer students?,No. Credit trasferred students can not get any waiver facilities.,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Tourism & Hospitality Management (BTHM),"6,11,400=/",,,,38.    I am a diploma holder. Can I get any waiver on diploma result?,No. There is no waiver facilities on diploma result but they can get waiver on their SGPA.,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Entrepreneurship (BE),"
7,17,900=/",,,,39.    How can I apply for financial aid on need based?,"Students must have to apply for through online financial aid form on following link by paying of Tk.102/- only

Link: http://financialaid.daffodilvarsitye.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
Average cost for  Humanities & Social Science degree(Hons/BSS),Around 6 lacks taka,,,,40.    What are the conditions to apply for financial aid,"a) Student completing minimum 1st semester with minimum SGPA 3.00 and not enjoying any waiver  and facing financial  crisi
s are eligible for financial aid; b) Considering low cost  programs, need based waiver may not be offered to the students ofB.com
 (Honors), BA. (Honors) in English, Evening programs and other similar programs (except  for Freedom Fighter quota)",,,,,,,,,,,,,,,,,,,,,,,,,,
B.A. (Hons) in English,"6,20,000 =/",,,,"41.    I am getting waiver on HSC result/ need based/ Freedom Fighter quota/ Female/
Sibling/spouse/Others quota. I failed to maintain required SGPA in last semester. 
What can I do","Your waiver be stopped only for current semester.  But if you achieve the required SGPA  with required credits 
in current semester, Your waiver
 will be continued  for next  semester automatically ",,,,,,,,,,,,,,,,,,,,,,,,,,
M.A. in English,"115,250 =/",,,,"42.    I have achieved the required SGPA in last semester to have waiver on tuition
 fees. What should I do to enjoy the waiver?","This category of waiver implemented automatically by the system with approval of concern personnel. Though you face any problem 
 in paying of tuition fees, you can  contact in Accounts section or Registrar Office",,,,,,,,,,,,,,,,,,,,,,,,,,
LL.B. (Hons.),"
8,54,200 =/",,,,"43.    If I can get opportunity to have waiver on more than one category, 
which one do I get",You can enjoy the category in which percentage of waiver is the highest. You cannot enjoy waiver on more than one category,,,,,,,,,,,,,,,,,,,,,,,,,,
LL.M. (One Year),"115,250 =/",,,,"44.    I dropped last semester and have registered for the current semester, 
will my waiver stopped?","If you maintained SGPA 3.00/required SGPA with minimum 12 credits on last registered semester,
  your waiver will be continued automatically
 after Registration ",,,,,,,,,,,,,,,,,,,,,,,,,,
"BSS in Journalism, Media and Communication (JMC)","
5,53,600 =/",,,,"45.    I took below 12 credit last semester which offered by the Department. 
Will my waiver be continued or not?",If below 12 credit offered by the Department and others conditions are OK then the waiver of students(s) will be continued,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSS in Journalism, Media and Communication (JMC)","121,250=/",,,,"46.    I am enjoying waiver on sibling/spouse quota. My sibling/spouse completed
 his/her Degree in current semester. What will be happened to my waiver","sibling/spouse quota waiver will be discontinued  on completion of Degree/Internship of one of sibling/spouse.
 In case of completion of degree of
 one sibling/spouse, other sibling/spouse may apply for Alumni quota waiver with proper documents. For details please see the link
Link: http://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
Master of Development Studies (MDS),"167,875=/",,,,"47.    I have a big amount of dues. Can I apply for financial aid to reduce it/ 
financial aid is applicable for dues?",Financial aid  is applicable only on tuition fees of  current and upcoming semester (s),,,,,,,,,,,,,,,,,,,,,,,,,,
"Post Graduate Diploma in Information Science and Library
 Management (PGD in ISLM)","76,000=/",,,,"48.    I am a Cricket/Football/Badminton/Others player. Is their any waiver
 for player for player in DIU?","DIU provides waiver on player quota. For details please visit the link

Link: http://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
Average cost for Engineering degree(Hons),Around 7 lacks taka,,,,49.    I am a Female student of Evening shift. Can I enjoy waiver on female quota,Female quota waiver is only applicable for female students of day programs except Diploma holders,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sc. in Information & Communication Engineering (ICE),"6,76,950 =/",,,,50.    What will happen to my waiver in case of changing campus,"In case of transferred students from one campus to another, to retain the received waiver benefit students have to apply again after changing
 their campus.",,,,,,,,,,,,,,,,,,,,,,,,,,
"M.Sc. in Electronics and Telecommunication Engineering (ETE) 
(Thesis/Project)","1,50,375=/",,,,51.    Are credit transferred students eligible for semester SGPA waiver?,"Yes, Credit transferred students are only eligible to enjoy waiver on SGPA.",,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sc. in Textile Engineering (TE),"7,04,200=/",,,,52.    Do DIU provides any insurance facilities,"Yes, DIU Initiated two insurance policies to support students. 1. Student life insurance and 2. Guardian Life insurance

Link: https://daffodilvarsity.edu.bd/article/life-insurance",,,,,,,,,,,,,,,,,,,,,,,,,,
M.Sc. in Textile Engineering (TE),"1,48,375=/",,,,53.    Where can I get my scholarship/waiver information?,You can get your scholarship/waiver information from the Registrar Office.,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sc. in Electrical and Electronic Engineering (EEE),"7,63,200=/",,,,54.    Do you have any waiver facilities?,Yes we do. Please visit this link for details: https://daffodilvarsity.edu.bd/scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Architecture (B. Arch.),"8,72,700=/",,,,55.    How can I get a waiver as a new student?,"New students can enjoy our offered waiver like result based, need based, relationship quota, freedom fighter quota,
 tribal quota, disablity quota & talent hunt scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sc. in Civil Engineering (CE),"7,53,075=/",,,,56.    Am I eligible to get a waiver?,"Result with 4.50 (for Social Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female in HSC can get a waiver.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,57.    How many waivers can I enjoy?,One students is eligible to get waiver maximum in one category. If eligible for more than one then highest percentage.is provided.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58.    Who qualifies for a waiver?,"We offer waiver on the basis of HSC (or equivalent) result. Students having result with 4.50 (for Social Science),4.71 (for Business), 4.80 
(for all faculty) for male & 4.00 for female in HSC can get a waiver.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,59.    What is the waiver for both GPA Golden 5?,75% and student must maintain semester result 3.50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60.    What is the waiver for Golden 5 in HSC?,50% and student must maintain semester result 3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,61.    What is the waiver for both GPA 5?,35% and student must maintain semester result 3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,62.    What is the waiver for 5 in HSC?,25% and student must maintain semester result 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63.    Do you provide waiver for below GPA 5.00 in HSC,"Yes, faculty wise DIU provides different waiver schemes for below GPA 5.00 in HSC . for details please visit the
 link: https://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"64.    If I am not eligible to get waiver on SSC and HSC result, meanwhile i get into
 financial crisis during my degree is there any way to get any support?","Yes. We offer Need Based Waiver for those students who get into an unfortunate financial crisis. Such Student can apply for
 financial aid from second semester through online. See the link. http://financialaid.daffodilvarsity.edu.bd/?app=home",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65.    Do you have siblings quota waiver?,Yes we offer 20% waiver for Spouse. Couple has to fill a prescribed waiver form with marriage certificate during their admission,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,66.    Is there any waiver for Spouse?,Yes we offer 20% waiver for Spouse. Couple has to fill a prescribed waiver form with marriage certificate during their admission,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67.    How much waiver can a tribal get from DIU?,"Tribal students of Bandarban, Khagrachari, Rangamti will get 15% tuition fees waiver and students have to maintain semester result 3.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68.    Do you have any waiver facilities for physically challenged student?,Yes. Physically challeged student will get 25% tuition fees waiver and  students have to maintain semester result 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69.    Do you have semester result based waiver?,Yes we do. Students can enjoy 10%-50% tuition fees waiver based on their semester result.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,70.    How much waiver can I get if I do well in semester result?,"Students having 3.80-4.00 for FBE,FSIT,FE faculty will get 10%-50% and 3.60-4.00 for FHSS faculty will get 10%-50% tuition fees waiver.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.    How can I get a additional waiver?,"Students can not get waiver more than one category. But those without having 
any kind of waiver can apply for financial aid with prescribed form.

Link: http://financialaid.daffodilvarsitye.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.    Do I have to submit a separate waiver form in every semester?,No you don't have to fill form in every semester. It will generate automatically.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"73.    I have a problem with my waiver, whom can I talk with?",Please contact to the duty officer of Admission office and Registrar office.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74.    My waiver is approved but why it's not showing in the student portal?,You have to wait till it's update by the accounts section. If it's not updated within a semester then contact with duty officer of accounts section.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75.    Can a student from Daffodil Int. College get a waiver?,"DIU offers 20% tuition fees waiver for the students of Daffodil International College.They will get 30 % tuition fees waiver for
 their improved result in HSC than SSC examination.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"76.    How much one can get from need based 
waiver quota?","Students who are not financially very sound may apply for TFW by applying in a prescribed Financial Aid Form
 and undergo an interview with the waiver/scholarship committee. The committee may grant 10-30% TFW case by case depending
 on the financial 
crisis of the students.

http://financialaid.daffodilvarsity.edu.bd/?app=home",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,77.    Is there any waiver for Employees' Or their Spouse/ Siblings/Ward?,"Yes. DIU employees or their first blood relatives will get 50% tuition fee exemption. They will have to maintain a GPA 3.00. No restriction will be
 imposed in taking courses on the employees of DIU. The waiver will be effective only if the employee gained one year working experience from DIU
 otherwise the waiver will not be enjoyable. DIU employees must serve at DIU at least for 2 years after completion of degree. Otherwise they have
 to return half of the benefit received while quitting the service. The employee will have to submit a Letter of Commitment in Stamp Paper in this regard.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"78.    If I am getting waiver in one category, may I get waiver in another category?","The students who are already enjoying waiver benefits in any category should not apply for further waiver benefits. The students who are already 
enjoying waiver benefits in any category should not apply for further waiver benefit.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,79.    What happened to my waiver if i change department?,"In case of transferred students from one program to another, to retain the received waiver benefit students have to fill a Form again after 
changing their Program.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,80.    Will I get waiver on total Fees?,"Waiver benefit is applicable only for tuition fee and not applicable for Admission fee, Semester fee, Library fee, Lab fee, Extra Curricular activities fee,
 Improvement, Retake, Project/ Dissertation/Internship etc.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81.    Is there any waiver for the Siblings of DIU Alumni?,10% tuition fee exemption will be given for DIU Alumni or their first blood relatives and for enjoying the benefit they will have to maintain a GPA 3.00.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,82.    Is there any waiver quota for the players?,"Yes. The national player will get Full free scholarship, Premier division players will avail 90% and First division player will avail 80% tuition fee waiver
 (from any back ground or event) excluding other fees until special consideration or recommendation and students have to maintain semester result 2.50",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83.    What is the waiver facilities for DIPTI (BM) college?,"The Alumnus of DIPTI (BM) college will get 15% tuition fee waiver if pre BBA/HSC result is less then SSC result and 25% tuition fee waiver if pre
 BBA/HSC result is better then HSC result.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,84.    What is the waiver facilities for the alumnus of Daffodil Polytechnic Institute (DPI)?,4 years Diploma alumunus of Daffodil Polytechnic Institute (DPI) will get 20% tuition fees waiver and have to maintain semester result 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"85.    I applied for financial aid but it's declined, what can I do?",Please find out the reason for decline and try to apply again with improved result.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,86.    How long does it take for a waiver to be approved?,Waiver will be approved within the semester final exam.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87.    What are the deadlines for submitting a waiver form?,Students need to submit waiver form before registration to be approved in time.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,88.    What options do I have if my waiver is denied?,You can seek considereation of authority and can apply again after overcoming your lackings,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"89.    What is the waiver facilities for the alumnus of Bangladesh Skill Development 
Intitute (BSDI)?",All the alumunus of  Bangladesh Skill Development Intitute (BSDI) will get 20% tuition fees waiver and have to maintain semester result 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90.    Is there any waiver for credit transfer students?,No. Credit trasferred students can not get any waiver facilities.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,91.    I am a diploma holder. Can I get any waiver on diploma result?,No. There is no waiver facilities on diploma result but they can get waiver on their SGPA.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92.    How can I apply for financial aid on need based?,"Students must have to apply for through online financial aid form on following link by paying of Tk.102/- only

Link: http://financialaid.daffodilvarsitye.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,93.    What are the conditions to apply for financial aid,"a) Student completing minimum 1st semester with minimum SGPA 3.00 and not enjoying any waiver  and facing financial  crisis are eligible
 for financial aid; b) Considering low cost  programs, need based waiver may not be offered to the students ofB.com (Honors), BA. (Honors) in 
English, Evening programs and other similar programs (except  for Freedom Fighter quota)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"94.    I am getting waiver on HSC result/ need based/ Freedom Fighter quota/ 
Female/Sibling/spouse/Others quota. I failed to maintain required SGPA in last
 semester. What can I do","Your waiver be stopped only for current semester.  But if you achieve the required SGPA  with required credits in current semester, 
Your waiver will be continued  for next  semester automatically ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"95.    I have achieved the required SGPA in last semester to have waiver on tuition
 fees. What should I do to enjoy the waiver?","This category of waiver implemented automatically by the system with approval of concern personnel. Though you face any problem  in paying of 
 tuition fees, you can  contact in Accounts section or Registrar Office",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"96.    If I can get opportunity to have waiver on more than one category, 
which one do I get",You can enjoy the category in which percentage of waiver is the highest. You cannot enjoy waiver on more than one category,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"97.    I dropped last semester and have registered for the current semester, 
will my waiver stopped?","If you maintained SGPA 3.00/required SGPA with minimum 12 credits on last registered semester,  your waiver will be continued automatically after 
Registration ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"98.    I took below 12 credit last semester which offered by the Department. 
Will my waiver be continued or not?",If below 12 credit offered by the Department and others conditions are OK then the waiver of students(s) will be continued,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"99.    I am enjoying waiver on sibling/spouse quota. My sibling/spouse completed his/
her Degree in current semester. What will be happened to my waiver","sibling/spouse quota waiver will be discontinued  on completion of Degree/Internship of one of sibling/spouse. In case of completion of degree of 
one sibling/spouse, other sibling/spouse may apply for Alumni quota waiver with proper documents. For details please see the link

Link: http://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"100.    I have a big amount of dues. Can I apply for financial aid to reduce it/
 financial aid is applicable for dues?",Financial aid  is applicable only on tuition fees of  current and upcoming semester (s),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"101.    I am a Cricket/Football/Badminton/Others player. Is their any waiver for player
 for player in DIU?","DIU provides waiver on player quota. For details please visit the link

Link: http://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,102.    I am a Female student of Evening shift. Can I enjoy waiver on female quota,Female quota waiver is only applicable for female students of day programs except Diploma holders,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103.    What will happen to my waiver in case of changing campus,"In case of transferred students from one campus to another, to retain the received waiver benefit students have to apply again after changing their campus.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,104.    Are credit transferred students eligible for semester SGPA waiver?,"Yes, Credit transferred students are only eligible to enjoy waiver on SGPA.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,105.    Do DIU provides any insurance facilities,"Yes, DIU Initiated two insurance policies to support students. 1. Student life insurance and 2. Guardian Life insurance

Link: https://daffodilvarsity.edu.bd/article/life-insurance",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,106.    Do you have any waiver facilities?,Yes you do.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,107.    How can I get a waiver as a new student?,"Depending on your SSC and HSC result , you can get waiver. Contact the DIU admission office",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,108.    Am I eligible to get a waiver?,"Yes, depending on your academic results.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,109.    How many waivers can I enjoy?,Only one waiver at a time .,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,110.    Who qualifies for a waiver?,All DIU students.(with conditions),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,111.    What is the waiver for both GPA Golden 5?,Around 50% off tution fees.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,112.    What is the waiver for Golden 5 in HSC?,Around 30% off tution fees.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,113.    What is the waiver for both GPA 5?,Around 25% off tution fees.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,114.    What is the waiver for 5 in HSC?,Around 20% off tution fees.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,115.    Do you provide waiver for below GPA 5.00 in HSC,"Yes, faculty wise DIU provides different waiver schemes for below GPA 5.00 in HSC for details please visit the
 link: https://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"116.    If I am not eligible to get waiver on SSC and HSC result, meanwhile i get into 
financial crisis during my degree is there any way to get any support?","Yes, faculty wise DIU provides different waiver schemes for below GPA 5.00 in HSC for details please visit the link: https://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,117.    Do you have siblings quota waiver?,"Yes. We offer Need Based Waiver for those students who get into an unfortunate financial crisis. Such Student can
 apply for financial aid from second semester through online. See the link. http://financialaid.daffodilvarsity.edu.bd/?app=home",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,118.    Is there any waiver for Spouse?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,119.    How much waiver can a tribal get from DIU?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,120.    Do you have any waiver facilities for physically challenged student?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,121.    Do you have semester result based waiver?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,122.    How can I get a additional waiver?,"Students can not get waiver more than one category. But those without having any kind of waiver can apply for financial aid with prescribed form.

Link: http://financialaid.daffodilvarsitye.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,123.    Do I have to submit a separate waiver form in every semester?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"124.    I have a problem with my waiver, whom can I talk with?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,125.    My waiver is approved but why it's not showing in the student portal?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,126.    Can a student from Daffodil Int. College get a waiver?,"DIU offers 20% tuition fees waiver for the students of Daffodil International College. They will get 30% tuition fees waiver for their improved
 result in HSC than SSC examination.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,127.    How much one can get from need based waiver quota?,"Students who are not financially very sound may apply for TFW by applying in a prescribed Financial Aid Form and undergo an interview with the 
waiver/scholarship committee. The committee may grant 10-30% TFW case by case depending on the financial crisis of the students.

http://financialaid.daffodilvarsity.edu.bd/?app=home",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128.    Is there any waiver for Employees' Or their Spouse/ Siblings/Ward?,"Yes. DIU employees or their first blood relatives will get 50% tuition fee exemption. They will have to maintain a GPA 3.00. No restriction will be imposed in
 taking courses on the employees of DIU. The waiver will be effective only if the employee gained one year working experience from DIU otherwise the 
waiver will not be enjoyable. DIU employees must serve at DIU at least for 2 years after completion of degree. Otherwise they have to return half of the
 benefit received while quitting the service. The employee will have to submit a Letter of Commitment in Stamp Paper in this regard.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"129.    If I am getting waiver in one category, may I get waiver in another category?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,130.    What happened to my waiver if i change department?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,131.    Will I get waiver on total Fees?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,132.    Is there any waiver for the Siblings of DIU Alumni?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,133.    Is there any waiver quota for the players?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"134.    I applied for financial aid but it's declined, what can I do?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,135.    How long does it take for a waiver to be approved?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136.    What are the deadlines for submitting a waiver form?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,137.    What options do I have if my waiver is denied?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,138.    Is there any waiver for credit transfer students?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,139.    I am a diploma holder. Can I get any waiver on diploma result?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,140.    What are the conditions to apply for financial aid,"a) Student completing minimum 1st semester with minimum SGPA 3.00 and not enjoying any waiver  and facing financial  crisis are eligible
 for financial aid; b) Considering low cost  programs, need based waiver may not be offered to the students ofB.com (Honors), BA. (Honors) in
 English, Evening programs and other similar programs (except  for Freedom Fighter quota)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"141.    I am getting waiver on HSC result/ need based/ Freedom Fighter quota/ Female/
Sibling/spouse/Others quota. I failed to maintain required SGPA in last semester. 
What can I do","Your waiver be stopped only for current semester.  But if you achieve the required SGPA  with required credits in current semester, Your waiver will be
 continued  for next  semester automatically ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"142.    I have achieved the required SGPA in last semester to have waiver on tuition 
fees. What should I do to enjoy the waiver?","This category of waiver implemented automatically by the system with approval of concern personnel. Though you face any problem  in paying 
of tuition fees, you can  contact in Accounts section or Registrar Office",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"143.    If I can get opportunity to have waiver on more than one category, 
which one do I get",You can enjoy the category in which percentage of waiver is the highest. You cannot enjoy waiver on more than one category.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"144.    I am a Cricket/Football/Badminton/Others player. Is their any waiver for
 player for player in DIU?","DIU provides waiver on player quota. For details please visit the link

Link: http://daffodilvarsity.edu.bd/scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,145.    What will happen to my waiver in case of changing campus,"In case of transferred students from one campus to another, to retain the received waiver benefit students have to apply again after changing their campus.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,146.    I am a Female student of Evening shift. Can I enjoy waiver on female quota,Female quota waiver is only applicable for female students of day programs except Diploma holders.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,147.    Where can I get my scholarship/ waiver information?,"You can get your scholarship/ waiver in scholarship/ waiver section. Cell no. +8801811458843,
 Email: scholarship@daffodilvarsity.edu.bd, scholarship1@daffodilvarsity.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,148.    How can I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,149.    Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information
in the Registrar's Office.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,150.    Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information in scholarship/waiver section.

Cell No.: +8801811458843

Email: panna@daffodilvarsity.edu.bd

Cell No.: +8801811458848

Email: scholarship1@daffodilvarsity.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151.    How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152.    11. Do you offer scholarship?,"Yes, We do based on the need of the students.University has many opportunities. For details--https://daffodilvarsity.edu.bd/scholarship-undergraduate",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,153.    12. What types of scholarship do you offer?,"Our department specially offer a talent hunt program named ""Are you the next start up"". Through this program we select students for scholarship.
 Besides, university offer other scholarships too.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,154.    13. How to apply for the scholarship of Are you the Next Startup?,For apply please Check the link : http://next-startup.net/,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,155.    14. How do you select students from are you the next start up?,"We call applications at the end of the semester (Mid of Every March, July, November) and screen applications and call them for
 live performance infront of judges and based on the performance we announce percentage of scholarship",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,156.    Where can I get my scholarship / waiver information?,"You can get your scholarship/waiver information in scholarship/waiver section. Cell No.: +8801811458843, 
Email: panna@daffodilvarsity.edu.bd, Cell No.: +8801811458848, Email: scholarship1@daffodilvarsity.edu.bd",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157.    How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,
